DOID_10718	MONDO_0001103
DOID_0110420	MONDO_0008381
DOID_0050612	MONDO_0000373
DOID_4961	MONDO_0003225
DOID_0060777	MONDO_0014808
DOID_0110034	MONDO_0010520
DOID_0110122	MONDO_0011233
DOID_9694	MONDO_0004851
DOID_14415	MONDO_0007885
DOID_0110032	MONDO_0007086
DOID_0110754	MONDO_0011302
DOID_6652	MONDO_0007127
DOID_11285	MONDO_0005981
DOID_3201	MONDO_0002554
DOID_3617	MONDO_0002712
DOID_0111639	MONDO_0033202
DOID_10968	MONDO_0001169
DOID_0090051	MONDO_0013928
DOID_656	MONDO_0003924
DOID_6228	MONDO_0018368
DOID_5602	MONDO_0003539
DOID_116	MONDO_0001322
DOID_0111612	MONDO_0010061
DOID_3213	MONDO_0002562
DOID_12196	MONDO_0001465
DOID_10126	MONDO_0015486
DOID_11889	MONDO_0001401
DOID_643	MONDO_0016318
DOID_14159	MONDO_0001896
DOID_3323	MONDO_0010006
DOID_1749	MONDO_0005096
DOID_0050480	MONDO_0019362
DOID_0050655	MONDO_0009437
DOID_2907	MONDO_0015397
DOID_4037	MONDO_0002845
DOID_9281	MONDO_0009861
DOID_501	MONDO_0003241
DOID_0050689	MONDO_0012544
DOID_0050762	MONDO_0007068
DOID_526	MONDO_0005109
DOID_2730	MONDO_0006541
DOID_0080119	MONDO_0011283
DOID_0070242	MONDO_0013840
DOID_10697	MONDO_0017203
DOID_0080150	MONDO_0008720
DOID_0060297	MONDO_0013721
DOID_0050556	MONDO_0010060
DOID_7915	MONDO_0004396
DOID_0110583	MONDO_0012974
DOID_9935	MONDO_0004923
DOID_0060441	MONDO_0000764
DOID_841	MONDO_0004553
DOID_0110672	MONDO_0014983
DOID_0080264	MONDO_0033123
DOID_0060002	MONDO_0007361
DOID_1793	MONDO_0009831
DOID_0111107	MONDO_0012818
DOID_4195	MONDO_0002909
DOID_0080384	MONDO_0013619
DOID_4024	MONDO_0005953
DOID_0110528	MONDO_0013365
DOID_0080636	MONDO_0016073
DOID_5845	MONDO_0006652
DOID_10174	MONDO_0000957
DOID_0060549	MONDO_0008853
DOID_371	MONDO_0002749
DOID_0111379	MONDO_0100104
